Apogee,bodylen_coeff,BurnoutMass,CfgID,GUID,landing_velocity,LaunchRodClearanceMass,LaunchRodClearanceStability,max_acceleration,max_velocity,MaxMach,MaxStability,noselen_coeff,payload_mass,rail_exit_velocity
1543.67605071,0.0267847908089,5.74357293051,cfg555,a34e55e2-410b-4ad2-bdb3-7cec5ea77d31,4.84458223022,6.27308497866,3.4807249577,133.207849174,189.140325445,0.560005355356,5.73819376544,0.513964020401,3.50590088836,15.3056472824
1701.98684888,0.0512380946137,5.30166225728,cfg555,6bc187e8-21be-42c5-ad2b-ad8728043743,4.63986618931,5.83214126013,3.3460785739,143.964649988,204.576296723,0.606051289107,5.59931959547,0.504968468665,3.058741198,16.1982983364
1712.3882378,0.00251798151692,5.30022737833,cfg555,809c66e7-e3a0-4fef-94a3-08ca77f7acf6,4.74072577489,5.83071776514,3.32377965848,144.001996038,204.798063213,0.606681763055,5.40852741887,0.501127222789,3.07427159584,16.2012476104
1439.69036472,0.0743176724854,6.0529994394,cfg555,2874563a-e324-4721-bd62-a89f4b3c61e9,4.99136308264,6.57931719282,3.75489006763,126.530104867,179.569151862,0.531629292298,6.08748915521,0.506848518703,3.80205161862,15.499293112
1625.94077478,0.0650908924596,5.52898278928,cfg555,29829c45-23f0-453a-97d4-10a3ae1a34e6,5.03761700613,6.05893023187,3.50354643178,138.23671935,196.46294645,0.581665302287,5.78147700994,0.500502187079,3.28143956422,15.7345069664
1571.48731958,0.0454849882642,5.64779402996,cfg555,3fe6515b-d068-4839-a595-87ce6cafdb88,4.79214034713,6.17750152529,3.49587013019,135.40950736,192.24288096,0.570025692944,5.77185380323,0.510212609258,3.40380142429,15.4935194252
1602.4501291,0.0248057275525,5.56336151584,cfg555,e219546d-51d4-45d8-aba4-75fa43f43d21,4.86442168331,6.09323875046,3.39604841303,137.407436459,195.059012006,0.578115655043,5.63964188581,0.500878367503,3.32684713105,15.663896597
1443.49506922,0.0608098433587,6.00411801419,cfg555,a44d916e-4a33-4dae-968b-bbe0ff61a631,4.99346178641,6.53054870575,3.7846085886,127.543264005,180.772382147,0.536602184072,6.01026450267,0.507580535865,3.75492847391,15.5876181318
1567.62383749,0.0523151641001,5.67893991268,cfg555,cb58bd37-5356-4ebc-8cee-2bfab828cee1,4.83923776364,6.20858261692,3.53857408371,134.686190272,191.282244564,0.566773128864,5.81302611378,0.500616138964,3.43580659115,15.4318284707
1442.20943836,0.0822365419872,6.01714848168,cfg555,51a82656-b11a-401b-977e-61ec7e1a57df,4.97412881373,6.54354542646,3.88151351128,127.271757003,180.430095405,0.534664409694,6.10295747368,0.515978400338,3.76025054204,15.563896646
1469.75297636,0.0500806317929,5.95303839474,cfg555,48495060-a6c5-40c5-9730-3d5bf9e1a2ad,5.02095381541,6.47958596511,3.7411443446,128.61823646,182.492499389,0.541977109186,5.94044687807,0.517494955191,3.70718762527,15.6813327469
1460.56808699,0.0526314396403,5.98719473569,cfg555,72fe3881-efd0-4ff7-9b69-c3bc5fdff87f,4.94692253213,6.51366758433,3.73183688191,127.897475562,181.487979754,0.537590141615,5.96502026371,0.514168798053,3.74059060926,15.6185002299
1584.05818466,0.0611975809622,5.62304332575,cfg555,7fc2d16b-ab06-4d5a-aa52-e7fe793c56cc,4.83233978719,6.15280120412,3.53455177278,135.989509543,193.149856718,0.571430158665,5.82200095936,0.513804586656,3.37349370812,15.542954105
1571.08806729,0.0784109437861,5.65415522514,cfg555,8229790a-70bc-40cb-a89b-fc762dded890,4.82053969646,6.18385027446,3.63451378347,135.261147694,192.04456781,0.568554518984,5.90957473019,0.517303001159,3.39853504752,15.4808029996
1371.67425303,0.0836275036714,6.25276304399,cfg555,71eb039c-02dc-4097-ae74-eb7ce072bc18,5.12317307669,6.77867316763,3.94086335896,122.540589477,173.716936089,0.514595934616,6.2191620589,0.519601667852,3.99525626104,15.1319978855
1723.92248484,0.0378467962298,5.26916548372,cfg555,19858264-a8c3-400f-bfd6-bf7c6cd00aac,4.6872632171,5.79973061187,3.28731673811,144.81980313,205.972735903,0.609611872599,5.52935988604,0.519595161679,3.03035878649,16.2655755009
1450.39073207,0.00282833460747,6.0456558849,cfg555,02d6846a-4411-4bbf-8721-c84d462dc494,4.96295340163,6.5719654869,3.81925695819,126.681830633,179.868162173,0.532765468052,5.76811087977,0.50902533612,3.81929094995,15.5124629784
1467.73793393,0.0654724239859,5.9285549465,cfg555,9fb8d895-5f1d-4aa0-8ae0-d5668f6fd982,4.91114478992,6.45768453365,3.68494941784,129.139401259,183.070446853,0.543495760937,5.98983445325,0.507898057778,3.68062060229,14.9577643023
1491.50092589,0.0140932022775,5.89946150847,cfg555,4831967e-3f50-48fe-b55e-d089c9b38dbe,5.13893522397,6.4286517103,3.6063567096,129.763856336,184.174706545,0.545538814081,5.75932352497,0.505843538325,3.66934121839,15.0112176056
1683.73470676,0.071143077013,5.31988878522,cfg555,1505a13b-7bb6-4608-b937-9565a7e4865e,4.63056543699,5.85031905853,3.40884702563,143.489146051,203.703130145,0.60403837061,5.69150340344,0.500848998182,3.07023668328,16.1608572611
1604.27038321,0.0521200910141,5.56454772225,cfg555,923804b4-80eb-4479-9ad2-2a635b6e48b4,4.85805786584,6.09442582994,3.58022298351,137.378858384,195.105444036,0.578828134496,5.74548185826,0.503834716924,3.32136986745,15.6613764134
1363.06497448,0.0921575562425,6.25300720705,cfg555,ce219429-58b0-4a91-8322-613dbcf85e66,5.19622319871,6.77891431717,3.91571014166,122.535909706,173.592389597,0.515097454507,6.25281692545,0.505678304563,3.99593669099,15.1315717022
1551.17873733,0.0323586010017,5.74161817077,cfg555,a200c195-b273-482b-ba70-3b7a2aba1575,4.96078327499,6.27113193455,3.59478762937,133.252147602,189.270218815,0.559762925288,5.7539086043,0.506558822623,3.50516652738,15.3093654858
1544.59562087,0.0102604445302,5.74686226624,cfg555,f47c071c-8c95-4866-aa3d-3f79420046c2,4.99651563727,6.27636391374,3.50330537234,133.133506459,189.094004356,0.560836349825,5.66378534322,0.515716737966,3.51771800624,15.2992801909
1390.78601847,0.0575345577902,6.18063530101,cfg555,fbba8e36-5c31-4d43-9f17-87987d4f572e,5.09160145125,6.70666167795,3.92596755046,123.954271083,175.675246043,0.52119411636,6.07580588226,0.512392438773,3.93237970321,15.264638434
1612.31840726,0.0877576238222,5.550925357,cfg555,69afa17c-a269-42b2-a9c1-878960bfc492,4.79322045916,6.08082730292,3.54528115889,137.706318244,195.656660014,0.579286054611,5.89359333475,0.504399110241,3.29254482057,15.6892842849
1585.35511128,0.0336950361955,5.59810205026,cfg555,a0db0a86-78da-4530-a4a0-760fd8d2f686,4.94655957062,6.12790858768,3.40008607731,136.578773957,193.890270501,0.574804611543,5.69264767445,0.513408875891,3.36094718777,15.5932917501
1616.11387856,0.0530731632458,5.53307214614,cfg555,73e08c08-8978-4390-ae83-42274106b37c,4.75262707167,6.06301482502,3.46050240921,138.137501427,196.238215556,0.580784416565,5.73530662513,0.510836050851,3.28643667279,15.7260599024
1656.42654349,0.0377303892668,5.45572373769,cfg555,8ff5882f-7f6e-4bff-bce5-be3f8eb0f18e,4.75825763785,5.98581820279,3.489756624,140.035527635,199.112420246,0.589495463077,5.63051225412,0.505059896316,3.21746462744,15.8876685528
1555.6812589,0.0209710186871,5.70777222298,cfg555,ab539045-cccb-448c-8fbc-f022ff7f206e,4.90943177866,6.23735345903,3.50253814237,134.023008424,190.311254807,0.564133076714,5.69315116624,0.518494707427,3.47193794867,15.3752030472
1651.92244144,0.0804689041256,5.47809826025,cfg555,bea3858f-72ea-4209-a95d-4ecf5ae2c474,4.73875473548,6.00815390845,3.63965972594,139.48136124,198.387502046,0.587445867281,5.81439752838,0.511136184577,3.22487574088,15.8404554114
1514.82266957,0.0606431989436,5.85150081675,cfg555,c4213137-7f14-4fef-b6c7-3f54bb6b3bb6,5.04033292971,6.38079179144,3.76343136812,130.80557552,185.825407363,0.550028877751,5.93673607912,0.510568560377,3.60226173742,15.1002701829
1424.60702911,0.0300779778961,6.09997188804,cfg555,d159e1a2-12c0-4b84-b9e7-d0f383ad2ad0,5.05984757712,6.6261591606,3.82744355049,125.570902054,178.209212858,0.527935476841,5.91390961048,0.514856700746,3.86111021578,15.415448638
1682.83963515,0.0349196531059,5.37303661322,cfg555,6b9214ab-ab5f-4f4e-954d-03c81c0943fd,4.8830668951,5.90334129618,3.35970793554,142.118884995,202.056546382,0.597954523493,5.5743707067,0.513565257662,3.13545438908,16.0530001354
1392.4718455,0.0798562825851,6.19840986585,cfg555,adabda4e-168d-4dc1-85c0-a10d99a22ddc,5.09565415714,6.72442419777,3.94387835936,123.602775679,175.300257565,0.519084764473,6.17215988803,0.508693482708,3.94548363548,15.2316787047
1427.30940889,0.0214106912734,6.12090921522,cfg555,ba9edf22-608d-4173-bda0-07f888b3b80d,5.07777456429,6.6470201526,3.79670740428,125.148194532,177.683021114,0.526088761089,5.88953588487,0.514516511588,3.88501922114,15.3766443501
1542.02024977,0.0911815656634,5.75285327522,cfg555,07746aec-69a4-4259-9ea6-fa0868deabae,4.84025831569,6.28234293014,3.76352810328,132.998113133,188.856541536,0.559476572352,6.01236726098,0.50052298622,3.4963013711,15.2876290473
1631.45157919,0.0904737488256,5.48136121612,cfg555,af925718-227d-4606-82fc-57cdee40cf56,4.81353396897,6.01140062037,3.59364385144,139.401160016,197.969381938,0.586323312627,5.86645053921,0.509605411421,3.2218473197,15.8336217525
1614.55448296,0.013295006041,5.57395169662,cfg555,b44d6de2-bf22-4d71-8da5-78c0c3ee62d0,4.78927791672,6.10380969413,3.44874955896,137.153744034,194.961650758,0.576054845561,5.59164240922,0.503590343843,3.3441875129,15.6422364841
1601.59505515,0.0788963425301,5.59107802883,cfg555,e80614c5-5171-46b4-b1fd-a5c65a83d9d1,4.78609541015,6.12090232056,3.57104945636,136.745428341,194.287236425,0.574630691244,5.86972989259,0.511195457754,3.33839671652,15.6073918052
1729.62602854,0.00524254451305,5.2627978285,cfg555,dc2f4e85-f712-4a9d-9341-416b8abd83ea,4.7471918134,5.79336370334,3.29026078711,144.988867625,206.224235733,0.610490280511,5.39890718025,0.506712471371,3.03568600962,16.2788413208
1491.22181126,0.0368902726985,5.88020267661,cfg555,f2189f7d-ccee-4f0a-bcbb-7fcff9c8e349,4.8980328452,6.40943473492,3.57653090913,130.180298265,184.702069452,0.547069069275,5.84597065729,0.50352296475,3.63942250847,15.0468740601
1593.80751425,0.0304418670528,5.61964702944,cfg555,c768cb90-e58e-4543-a060-b7f5d65cb5ff,4.90171607284,6.14941273117,3.47562791769,136.069456454,193.356084741,0.572206489081,5.69392038613,0.510523140914,3.38372012608,15.5498244197
1588.52636388,0.0171143813291,5.64177803083,cfg555,1d4873d1-0db0-4b14-9428-66dfc887d7c1,4.79122286586,6.17149551714,3.46985880423,135.550109694,192.670533016,0.570877957559,5.64711182344,0.511782974751,3.41040590471,15.5055274234
1473.8581382,0.0568364350408,5.92241354451,cfg555,4673bc03-f218-4815-895a-b94707078e7c,4.87610744065,6.4515576758,3.76270037009,129.270689778,183.33900159,0.543628009319,5.94554781861,0.51378632114,3.67725646872,14.9689626357
1699.28283819,0.0714723999643,5.31824707314,cfg555,a60bc46a-cd14-412f-9eb9-575406826d31,4.76419727858,5.84869175439,3.41137029475,143.531598483,204.039485402,0.603940227762,5.6851139314,0.510016060963,3.06816972887,16.1642031664
1426.79435259,0.0826393086387,6.09815440522,cfg555,03f981d4-be93-4fdd-894f-e7d599c665fb,5.20463434014,6.62436349156,4.03819228279,125.607400982,178.193106509,0.527474837209,6.14282970686,0.51398023169,3.84119342833,15.4185942766
1584.58407183,0.0321528743716,5.61697261165,cfg555,70319b44-cf44-4f1a-82bc-c8db1d621fb3,4.79706144693,6.14674225743,3.42528136776,136.132528441,193.266927872,0.572620198555,5.68900966323,0.515335508377,3.38028438978,15.5552450342
